Id  ,Title                                                                                                     ,Company_Name                                                                    ,Job                                                                                                        ,Place                                                                                                                                                                              ,Number_Employee ,Experience            ,Level                    ,Salary           ,Education   ,Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,Requirement                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,Deadline   ,Source_Picture
  1 ,"Nhân Viên Phiên Dịch Tiếng Trung Tại An Khánh - Hoài Đức"                                                ,"Công Ty TNHH Hiwin Hongkong"                                                   ,"Biên phiên dịch / Bán hàng - Kinh doanh / Hành chính - Thư ký"                                            ,"Tầng 3, tòa nhà Golden Palm số 21 Lê Văn Lương, Hà Nội"                                                                                                                           ,              1 ,"Dưới 1 năm"          ,"Chuyên viên- nhân viên" ,"8 - 14 triệu"   ,"Cao đẳng"  ,"- Phiên dịch cho quản lý người Trung Quốc tại xưởng, địa chỉ: An Khánh – Hoài Đức – Hà Nội. - Phiên dịch khi đi gặp Khách hàng, đối tác. - Có thể phải đi công tác tỉnh ngắn ngày (không thường xuyên). - Các công việc phát sinh theo chỉ đạo của cấp trên. - Làm các báo cáo, tổng hợp, đánh giá theo yêu cầu của cấp trên. LÀM VIỆC TẠI AN KHÁNH - HOÀI ĐỨC - HÀ NỘI"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"- Nam/ Nữ, có bằng tốt nghiệp CĐ ĐH - Tiếng Trung tốt cả 4 kỹ năng nghe nói đọc viết - Chăm chỉ, nhiệt tình với công việc, chịu khó - Sử dụng tốt Word, Excel, Power Point"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,29/12/2023 ,https://cdn1.vieclam24h.vn/tvn/images/old_employer_avatar/images/f286420cfed29799eb3547243ec32dea_5ec5e9e50de4f_1590028773.png
  2 ,"Giám Sát Kinh Doanh - Ngành Sữa (Kênh GT)"                                                               ,"Công Ty TNHH Dksh Việt Nam"                                                    ,"Bán sỉ - Bán lẻ - Quản lý cửa hàng / Bán hàng - Kinh doanh"                                               ,"Viettel Complex, 285 Cach Mang Thang Tam, Phường 12,Quận 10, Ho Chi Minh, Vietnam"                                                                                                ,              5 ,"1 năm"               ,"Quản lý nhóm- giám sát" ,"22 - 25 triệu"  ,"Trung cấp" ,"Khu vực HCM Khu vực Biên Hòa - Đồng Nai - Thiết lập và quản lý hướng làm việc cho đội ngũ Sales bên dưới. - Đàm phán, thương lượng hợp đồng mua bán hàng hóa kênh GT tại khu vực phụ trách. - Xây dựng mối quan hệ tốt với cửa hàng, đại lý... - Có khả năng giải quyết các vấn đề phát sinh tại cửa hàng (với đội ngũ Sales, hàng hóa) - Quản lý SKUs, phát triển doanh số, phân tích đối thủ cạnh tranh. - Phối hợp với bộ phận Marketing về các chương trình khuyến mãi hàng tháng, quý và thống nhất với từng hệ thống. - Quản lý các quy trình ( kế hoạch bán hàng, điều động sales, xử lý sự cố...) của kênh bán hàng GT. - Quản lý hàng tồn tại NPP, cập nhật thường xuyên những mặt hàng bán mạnh và chậm. - Làm các loại báo cáo (báo cáo doanh số, báo tháng ngày tháng quý, báo cáo tình hình Sales, v..v)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,"- Có ít 01 năm kinh nghiệm Giám Sát trong lĩnh vực Hàng Tiêu Dùng. - Ưu tiên có kinh nghiệm ngành sữa. - Có kinh nghiệm quản lý đội ngũ Sales. - Có mối quan hệ tốt với các cửa hàng tại khu vực phụ trách; - Sử dụng vi tính văn phòng"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,11/01/2024 ,"https://cdn1.vieclam24h.vn/images/employer_avatar/2023/11/06/Thiết kế chưa có tên (42)_169924005856.png"
  3 ,"Trưởng Phòng Kinh Doanh"                                                                                 ,"Công Ty CP Thang Máy Và Thiết Bị Thành Công"                                   ,"Bán hàng - Kinh doanh / Bán sỉ - Bán lẻ - Quản lý cửa hàng / Marketing"                                   ,"Số 7A Mạc Thị Bưởi, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam"                                                                                               ,              1 ,"2 năm"               ,"Quản lý cấp trung"      ,"20 - 30 triệu"  ,"Cao đẳng"  ,"- Quản lý, hỗ trợ nhân viên kinh doanh training các kỹ năng. - Hỗ trợ nhân viên kinh doanh cấp dưới chốt khách hàng để mang lại hiệu quả cao nhất. - Tư vấn, xúc tiến, chốt hợp đồng. - Xây dựng và thiết lập hệ thống khách hàng tiềm năng, khách hàng mục tiêu. - Biết phân tích thông tin thị trường, đối thủ cạnh tranh, xây dựng được các giải pháp để phát huy điểm mạnh, hạn chế điểm yếu; giải pháp để tăng doanh thu, tăng thị phần. - Thực hiện các công việc khác theo sự phân công của cấp Quản lý."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"- Tốt nghiệp Cao đẳng / Đại học. - Tối thiểu 2 năm kinh nghiệm trong lĩnh vực quản lý Kinh doanh. - Có khả năng Lãnh đạo đội ngũ, khả năng xử lý tình huống, giải quyết vấn đề và đưa ra quyết định nhanh chóng. - Kỹ năng giao tiếp và tương tác tốt với Đồng nghiệp và Khách hàng. - Quản lý thời gian hiệu quả trong việc để sắp xếp và xử lý công việc mang lại sự hài lòng cho Khách hàng. - Độ tuổi từ 30-50, ưu tiên ứng viên gần công ty. - Giới tính NAM"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,15/01/2024 ,https://cdn1.vieclam24h.vn/images/employer_avatar/2022/02/22/images/164551277961.png
  4 ,"Nhân Viên Telesales (Việc Làm Tốt)"                                                                      ,"Công Ty Tnhh Chợ Tốt"                                                          ,"Bán hàng - Kinh doanh / Nhân sự / Chăm sóc khách hàng"                                                    ,"UOA Tower, Số 6 Tân Trào, Phường Tân Phú, Quận 7"                                                                                                                                 ,              5 ,"1 năm"               ,"Chuyên viên- nhân viên" ,"7 - 15 triệu"   ,"Cao đẳng"  ,"Việc Làm Tốt – Chuyên trang tuyển dụng & tìm việc được phát triển bởi Chợ Tốt đang tìm kiếm những ứng viên nhiệt huyết và có đam mê để cùng phát triển thị trường đầy tiềm năng ở Việt Nam. Ứng viên lý tưởng là những người trẻ, năng động, chuyên nghiệp, yêu thích việc giao tiếp kết nối và làm việc với các doanh nghiệp có nhu cầu tuyển dụng. Có kinh nghiệm sales, quản lý, tư vấn B2B ở các công ty công nghệ/ dịch vụ hoặc các trang tuyển dụng là 1 lợi thế. Nếu bạn là người yêu thích làm việc ở môi trường năng động với công nghệ mới, quen thuộc với các thiết bị và ứng dụng trên di động thì bạn là người chúng tôi đang tìm! Tìm kiếm, gọi điện, giới thiệu, tư vấn và chốt giao dịch với các doanh nghiệp có nhu cầu tuyển dụng Chăm sóc, hỗ trợ duy trì mối quan hệ và tái tục cung cấp dịch vụ với khách hàng hiện tại Thu thập ý kiến khách hàng, phối hợp với các team khác xây dựng và hoàn thiện sản phẩm, phát triển cơ hội kinh doanh mới để hoàn thành chỉ tiêu doanh số được giao Quản lý dữ liệu khách hàng trên hệ thống CRM để lên kế hoạch kinh doanh hàng tuần/tháng và báo cáo kết quả công việc tới cấp trên Phát hiện vấn đề, đưa ra các nhận định và đề xuất các phương án giải quyết liên quan đến vận hành Thực hiện các công việc khác theo yêu cầu Địa điểm làm việc : UOA Tower, Số 6 Tân Trào, Phường Tân Phú, Quận 7 Thời gian làm việc : 9 giờ sáng - 6 giờ chiều, thứ 2 - thứ 6"                                                                                                                                                                                                                                                                                                                                                                                   ,"Ít nhất 6 tháng kinh nghiệm bán hàng/ tư vấn/ quản lý các sản phẩm dịch vụ B2B Có kinh nghiệm telesale và làm việc ở các công ty công nghệ hoặc các trang web tuyển dụng là một lợi thế Tốt nghiệp Đại học hoặc Cao đẳng Kỹ năng giao tiếp và thương lượng tốt Có kỹ năng làm việc nhóm & làm việc độc lập Năng động, tiếp thu nhanh, nhiều sáng kiến và nhiệt huyết, sẵn sàng học hỏi Kiên trì, chăm chỉ, không dễ nản lòng"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,24/01/2024 ,https://cdn1.vieclam24h.vn/images/default/2022/03/25/images/164817664165.png
  5 ,"[Hà Nội] Nhân Viên Bán Hàng Qua Điện Thoại"                                                              ,"Công ty Tài Chính TNHH HD SAISON"                                              ,"Bán hàng - Kinh doanh / Ngân hàng / Chăm sóc khách hàng"                                                  ,"Tầng 3 tòa nhà VIT 519 Kim Mã, Ba Đình, Hà Nội"                                                                                                                                   ,             30 ,"Dưới 1 năm"          ,"Chuyên viên- nhân viên" ,"12 - 30 triệu"  ,"Trung học" ,"1.Bán hàng qua điện thoại: - Nhận cuộc gọi vào: Đại diện cho HDSS để giới thiệu sản phẩm cho vay tiền mặt và tư vấn khi khách hàng gọi vào; Đại diện cho HDSS để làm rõ thắc mắc hoặc khiếu nại về dịch vụ cho vay tiền mặt của khách hàng. - Gọi ra: Thực hiện cuộc gọi đến những khách hàng tiềm năng đã có trong danh sách mua hàng trả góp để thuyết phục họ vay tiền mặt; Hướng dẫn khách hàng điền thông tin vào tờ đơn vay mẫu đã phát hành và nộp đủ các giấy tờ cần thiết theo yêu cầu của cty; Cập nhật thông tin chi tiết các cuộc gọi đến & cuộc gọi đi vào cơ sở đữ liệu (database); Làm báo cáo hàng ngày cho các hoạt động đã diễn ra và theo dõi hồ sơ vay tại các phòng ban có liên quan. 2.Cung cấp khoản vay: - Tiếp nhận thông tin và giúp kh làm hồ sơ vay vốn; - Xác nhận đủ chứng từ để đảm bảo chúng phù hợp & hợp lệ; - Cập nhật những thông tin đã thu thập vào hệ thống; - Theo dõi tình trạng hồ sơ; - Thông báo với khách hàng về kết quả hồ sơ; - Chuẩn bị hợp đồng và hướng dẫn khách hàng các thủ tục ký HĐ; - Bàn giao toàn bộ HĐ vay và các giấy tờ cần thiết để BO giải ngân. 3.Quản trị: - Tiếp nhận danh sách khách hàng tiền năng của cty và điện thoại ra cho khách hàng để giới thiệu sản phẩm; - Cập nhật và chăm sóc những khách hàng tiềm năng đã liên lạc (ngày, trạng thái...); - Kiểm tra và xử lý tất cả các giấy tờ liên quan, theo dõi và nhắc nhở CU để trả kết quả; - Theo dõi quá trình giải ngân cho khách hàng; - Hướng dẫn khách hàng đóng tiền đúng hẹn, theo dõi quá trình trả nợ của khách hàng...; - Các nhiệm vụ khác theo phân công."                                                                                                                                                                                                                 ,"Tốt nghiệp trung học phổ thông trở lên; Có kinh nghiệm làm việc trong lĩnh vực bán hàng, kinh doanh, marketing, tiếp thị, chăm sóc khách hàng (sẽ được ưu tiên); Sử dụng được Tin học văn phòng; Kỹ năng giao tiếp, thuyết phục tốt; Có kỹ năng tổ chức, sắp xếp công việc; Có kỹ năng giải quyết vấn đề; Có khả năng làm việc dưới áp lực cao."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,12/01/2024 ,https://cdn1.vieclam24h.vn/images/old_employer_avatar/images/0c11a213f45f67450110524c8f0fef87_3104199_vieclam24h_1577951033.png
  6 ,"Nhân Viên Chứng Từ Xuất Nhập Khẩu (Quốc Tế, Trong Nước)"                                                 ,"Công Ty TNHH N.N.B"                                                            ,"Xuất Nhập Khẩu / Hành chính - Thư ký / Thu mua - Kho Vận - Chuỗi cung ứng"                                ,"120 Lý Thánh Tông, Phường Hiệp Tân, Quận Tân Phú, TP Hồ Chí Minh"                                                                                                                 ,              1 ,"2 năm"               ,"Chuyên viên- nhân viên" ,"10 - 15 triệu"  ,"Đại học"   ,"Trao đổi với nhà cung cấp (Tiếng Anh/Việt) thông qua các công cụ Email, Wechat, zalo...mua hàng hóa trong nước và nước ngoài Trao đổi với các đại lý hãng tàu để đặt lịch vận chuyển Chuẩn bị chứng từ nhập khẩu, và liên hệ với các Đại lý dịch vụ khai quan, đơn vị vận chuyển tiến hành các thủ tục nhập hàng Thực hiện các công việc hỗ trợ khác liên quan đến qui trình mua hàng Quốc tế và trong nước Hỗ trợ Trưởng Phòng các công việc liên quan đến nhập khẩu hàng hóa của Công ty Nhân viên mới sẽ được hướng dẫn không cần kinh nghiệm, thực hiện theo các qui trình hiện hữu"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"Tốt nghiệp Đại Học các ngành Kinh tế, ngoại thương, ngoại ngữ Có kinh nghiệm trong lĩnh vực xuất nhập khẩu (ưu tiên nhưng không bắt buộc) Có khả năng giao tiếp, năng động, và chủ động trong công Sử dụng tốt Tiếng Anh (Chat tốt, email tốt, trao đổi trực tiếp tốt) Làm việc tại CN Công ty TNHH N.N.B, 120 Lý Thánh Tông, Phường Hiệp Tân, Quận Tân Phú, TP Hồ Chí Minh"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,27/12/2023 ,https://cdn1.vieclam24h.vn/upload/files_cua_nguoi_dung/logo/2020/09/22/3849844_vieclam24h_1600760508.jpg
  7 ,"[ HCM_24-30 Tuổi ] Chuyên Viên Tư Vấn Tài Chính (Lương Cơ Bản Từ 16.800.000 + Thưởng 10-30%)"            ,"Công Ty TNHH Bảo Hiểm Nhân Thọ AIA Việt Nam"                                   ,"Bán hàng - Kinh doanh / Tài chính - Đầu tư - Chứng Khoán / Chăm sóc khách hàng"                           ,"Tòa nhà Saigon Centre, Tháp 2, 67 Lê Lợi, P. Bến Nghé, Quận 1, TPHCM"                                                                                                             ,             20 ,"Dưới 1 năm"          ,"Chuyên viên- nhân viên" ,"16 - 30 triệu"  ,"Cao đẳng"  ,"Hiện nay, chúng tôi đang tuyển dụng vị trí Chuyên Viên Quan Hệ Khách Hàng (Relationship Manager) nhằm mang đến các kế hoạch Tài chính - Bảo hiểm tốt nhất, và cùng đồng hành với khách hàng trong các hoạt động tại NEST BY AIA. MÔ TẢ CÔNG VIỆC: - Lên kế hoạch và chiến lược tìm kiếm khách hàng tiềm năng. - Thiết kế và tư vấn các sản phẩm bảo hiểm tối ưu cho khách hàng. - Hoàn thành các chỉ tiêu kinh doanh theo yêu cầu của vị trí ứng tuyển. - Chăm sóc khách hàng nhằm mang đến cho khách hàng trải nghiệm tốt nhất về chất lượng dịch vụ bán hàng của NEST BY AIA. -Chi tiết trao đổi khi phỏng Vấn"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,"- Tốt nghiệp Cao đẳng, Đại học. - Tuổi từ 23 tuổi. - Có kinh nghiệm làm việc trên 6 tháng. - Giao tiếp tốt, có kinh nghiệm bán hàng và chăm sóc khách hàng là 1 lợi thế."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,31/12/2023 ,https://cdn1.vieclam24h.vn/images/default/2023/02/02/images/167533043925.jpeg
  8 ,"Nhân Viên Chăm Sóc Khách Hàng - Mảng Bảo Hành Kỹ Thuật"                                                  ,"Công Ty TNHH Euromade Việt Nam"                                                ,"Bán hàng - Kinh doanh / Chăm sóc khách hàng / Khoa học - Kỹ thuật"                                        ,"Tầng 7-8, Tòa nhà VP số 47 Trung Kính, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội"                                                                                                   ,              3 ,"Dưới 1 năm"          ,"Chuyên viên- nhân viên" ,"8 - 10 triệu"   ,"Trung cấp" ,"Tiếp nhận và xử lý yêu cầu/thắc mắc của khách hàng liên quan đến sản phẩm/dịch vụ doanh nghiệp cung cấp; Thu nhận và quản lý khiếu nại, các vấn đề cần giải quyết của khách hàng và cung cấp thông tin tới các bộ phận phù hợp để xử lý khiếu nại đó; Theo sát và tổng hợp được các trường hợp bảo hành, bảo trì từ khi phát sinh cho đến khi kết thúc khiếu nại. Tham gia xây dựng và quản lý kênh thông tin nhằm giúp khách hàng có được nội dung mình cần một cách nhanh chóng và chính xác nhất (hướng dẫn sử dụng, chế độ bảo hành,…); Theo dõi và liên tục cập nhật các chính sách về sản phẩm/dịch vụ của doanh nghiệp; Thực hiện các khảo sát, cảm nhận của khách hàng về chất lượng dịch vụ, sản phẩm. Từ đó ghi nhận phản hồi của khách hàng để cải thiện sản phẩm, dịch vụ; Lập báo cáo trình cấp trên về tình hình bảo hành, bảo trì, tổng hợp các loại lỗi và linh kiện lỗi, khảo sát khách hàng, độ thỏa mãn với sản phẩm dịch vụ. Đưa ra đề xuất cải thiện, nâng cao chất lượng công việc."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,"Độ tuổi: không quá 30 tuổi Giới tính: Không yêu cầu Tốt nghiệp trình độ trung cấp ngành Kỹ thuật trở lên (Ưu tiên các bạn đã có kinh nghiệm làm công việc chăm sóc khách hàng hoặc phụ trách bảo hành bảo trì sản phẩm/dịch vụ); Thành thạo tin học văn phòng; Thành thạo kỹ năng lắng nghe và giao tiếp; Điềm tĩnh, có khả năng xử lí các tình huống bị khách hàng phàn nàn hoặc các vấn đề phát sinh; Tính cách điềm tĩnh, hòa đồng, kiên nhẫn và dễ tạo thiện cảm cho người xung quanh; Có khả năng làm việc với cường độ cao và sẵn sàng cam kết gắn bó."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,15/01/2024 ,https://cdn1.vieclam24h.vn/tvn/images/old_employer_avatar/images/dec36c749f122c4e6774b087d14bb624_5f8972972976d_1602843287.jpeg
  9 ,"Nhân Viên Kinh Doanh Tại Bình Dương, Hà Nội"                                                             ,"Công Ty TNHH Mh Rental Việt Nam"                                               ,"Bán sỉ - Bán lẻ - Quản lý cửa hàng / Bán hàng - Kinh doanh / Chăm sóc khách hàng"                         ,"Số nhà 06 - TT9 đường Foresa 1A, KĐT sinh thái Tasco Xuân Phương, quận Nam Từ Liêm, Hà Nội"                                                                                       ,              6 ,"Chưa có kinh nghiệm" ,"Chuyên viên- nhân viên" ,"10 - 50 triệu"  ,"Cao đẳng"  ,"-      Tìm kiếm khách hàng có nhu cầu sử dụng sản phẩm của công ty để bán hàng -      Đi thị trường để quảng bá sản phẩm, tư vấn dịch vụ và sản phẩm của công ty tới khách hàng -      Thuyết phục khách hàng sử dụng, ký kết hợp đồng mua bán với khách hàng -      Chăm sóc và duy trì quan hệ để khách hàng tái sử dụng dịch vụ -      Chăm sóc các khách hàng truyền thống đang dùng dịch vụ của công ty -      Theo dõi đơn hàng và thu hồi nợ. Số lượng cần tuyển: 06 người ( 03 người khu vực miền Nam + 03 người khu vực miền Bắc) 1.1. Miền bắc: 02 sale cho thuê + 01 sale bán lẻ 1.2. Miền nam: 02 sale cho thuê + 01 sale bán lẻ Địa điểm làm việc: 1.1.           VP. Hà Nội: Số 6 - TT9, đường Foresa 1A, KĐT Xuân Phương, Nam Từ Liêm, Hà Nội 1.2.           VP. miền Nam: 114 đường Mỹ Phước Tân Vạn - Phường Bình An - Dĩ An - Bình Dương"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"-      Không yêu cầu kinh nghiệm. Công ty ưu tiên các bạn mới ra trường, tràn đầy nhiệt huyết tuổi trẻ. Có khát khao phát triển bản thân và xây dựng sự nghiệp. Muốn được làm việc tử tế và đàng hoàng. Muốn được làm giàu dựa trên tinh thần lao động chăm chỉ và tri thức. Muốn được học tập mở mang hiểu biết. Không ngại vất vả, không ngại khó, không ngại khổ. Những người có niềm tin rằng cuộc đời mình thành hay bại là dựa chính vào sự chăm chỉ tu dưỡng, kiên trì chứ ko phải là may mắn. Yêu lao động và bền trí bền lòng. -      Với các bạn đã có kinh nghiệm: Ưu tiên những ứng viên có kinh nghiệm làm việc với các dự án xây dựng nhà máy, các nhà thầu xây dựng, cơ điện, phòng cháy chữa cháy, ống gió, trần vách thạch cao…..hoặc các bạn có kinh nghiệm bán máy móc xây dựng, bán vật tư cho các nhà máy công nghiệp -      Ưu tiên các bạn có hoàn cảnh gia đình khó khăn -      Đối tượng tuyển dụng: Nam hoặc nữ -      Thường xuyên đi thị trường, quảng bá và tìm kiếm, tiếp cận giới thiệu sản phẩm -      Có khả năng sử dụng các mạng xã hội, internet -      Có trình độ tin học văn phòng cơ bản -      Có máy tính cá nhân -      Trình độ học vấn: Từ cao đẳng trở lên. Tốt nghiệp loại giỏi với các bạn học cao đẳng"                                                                                                                                                                                    ,15/01/2024 ,https://cdn1.vieclam24h.vn/images/employer_avatar/2023/07/10/MH_168897974322.jpg
 10 ,"Đội Trưởng Quản Lý Đô Thị Tại Vinhomes Ocean Park"                                                       ,"Công ty Cổ Phần Vinhomes"                                                      ,"Kiến trúc - Thiết kế nội ngoại thất / Chăm sóc khách hàng / Bất động sản"                                 ,"Tòa nhà Techno Park - Đa Tốn - Gia Lâm - Hà Nội"                                                                                                                                  ,              2 ,"3 năm"               ,"Quản lý cấp trung"      ,"25 - 35 triệu"  ,"Đại học"   ,"- Xây dựng, triển khai, kiểm soát, đánh giá việc thực hiện kế hoạch hành động của Bộ phận; - Xây dựng Ngân sách, chi phí hoạt động của Bộ phận; - Kiểm tra các khu vực thi công và tiếp nhận phàn nàn tại chỗ của Cư dân, Khách hàng để đánh giá tốc độ xử lý và chất lượng dịch vụ trong phạm vi công việc; - Kiểm tra, kiểm soát tình trạng hạ tầng, cơ sở vật chất tại các khu vực trong phạm vi công việc, để đảm bảo ANAT PCCN; - Rà soát và đề xuất những bất cập để nâng cấp cảnh quan; - Đào tạo, kèm cặp, tư vấn CBNV và cán bộ nguồn trong Bộ phận; - Phối hợp, hỗ trợ với các Bộ phận liên quan thực hiện các công việc hoặc xử lý công việc quan trọng theo phân công của CBLĐ"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"- Tốt nghiệp Đại học trở lên các chuyên ngành Kiến trúc, Xây dựng, Quản lý đô thị; - Tối thiểu 05 năm kinh nghiệm ở vị trí tương đương tại các Công ty Kiến trúc, Công ty quản lý BĐS... - Nắm rõ công việc xây dựng và hoàn thiện nội thất; kỹ năng đọc hiểu bản vẽ, nắm bắt pháp lý căn hộ; - Khả năng quản lý đội nhóm, đào tạo nhân sự dưới quyền; - Khả năng giao tiếp tốt, tự tin, cẩn thận, chịu áp lực công việc tốt."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,31/01/2024 ,https://cdn1.vieclam24h.vn/images/old_employer_avatar/images/e156f68da2d12b1485d4579e86d10f10_4876858_vieclam24h_1581913790.png
